host_job_create_tstamp,host_job_serialize_time,func_data_size_bytes,func_module_size_bytes,host_func_upload_time,host_data_upload_time,host_job_created_time,host_status_done_tstamp,host_status_query_count,worker_start_tstamp,host_submit_tstamp,worker_cold_start,worker_peak_memory_start,worker_func_start_tstamp,worker_func_end_tstamp,worker_func_exec_time,func_result_size,worker_result_upload_time,worker_peak_memory_end,worker_end_tstamp,worker_exec_time,host_result_done_tstamp,host_result_query_count
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643025.3150525,1,1700643019.6118758,1700643016.735204,True,66203648.0,1700643019.6672611,1700643024.6704779,5.00321674,5.0,0.0,67231744.0,1700643024.6741793,5.06230354,1700643025.8098288,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643025.759275,1,1700643019.6136215,1700643016.735204,True,66203648.0,1700643019.701745,1700643024.706462,5.00471687,5.0,0.0,67264512.0,1700643024.709483,5.09586143,1700643025.817753,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643025.7025077,1,1700643019.6151304,1700643016.735204,True,66203648.0,1700643019.690418,1700643024.6944654,5.00404739,5.0,0.0,67297280.0,1700643024.697587,5.08245659,1700643025.8182297,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643025.8060539,1,1700643019.6160593,1700643016.735204,True,66207744.0,1700643019.675704,1700643024.6784663,5.00276232,5.0,0.0,67264512.0,1700643024.681822,5.06576276,1700643026.019605,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643027.717425,1,1700643020.2784865,1700643016.735204,True,66048000.0,1700643020.340804,1700643025.3439796,5.0031755,5.0,0.0,67248128.0,1700643025.3472729,5.06878638,1700643028.1748188,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643027.7195003,1,1700643020.2807493,1700643016.735204,True,66048000.0,1700643020.3313596,1700643025.334473,5.00311327,5.0,0.0,67252224.0,1700643025.3379884,5.05723906,1700643028.1731493,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643027.722175,1,1700643020.2823408,1700643016.735204,True,66048000.0,1700643020.342138,1700643025.3442805,5.00214243,5.0,0.0,67252224.0,1700643025.3477938,5.06545305,1700643028.1712587,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643027.7264364,1,1700643020.2836475,1700643016.735204,True,66052096.0,1700643020.356423,1700643025.3614786,5.00505567,5.0,0.0,67252224.0,1700643025.3645804,5.08093286,1700643028.1758072,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643027.7243154,1,1700643020.426706,1700643016.735204,True,66244608.0,1700643020.499124,1700643025.5024602,5.00333619,5.0,0.0,67088384.0,1700643025.505378,5.07867193,1700643028.176241,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643027.774493,1,1700643020.4281552,1700643016.735204,True,66244608.0,1700643020.5152485,1700643025.5184615,5.00321293,5.0,0.0,67088384.0,1700643025.5213478,5.09319258,1700643028.1771379,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643027.738319,1,1700643020.429259,1700643016.735204,True,66244608.0,1700643020.4834898,1700643025.4864817,5.00299191,5.0,0.0,67088384.0,1700643025.4906049,5.06134582,1700643028.190075,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643027.762668,1,1700643020.430328,1700643016.735204,True,66248704.0,1700643020.4816446,1700643025.4867144,5.00506973,5.0,0.0,67092480.0,1700643025.490475,5.06014705,1700643028.1819334,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643025.6851091,1,1700643018.745818,1700643016.735204,True,66240512.0,1700643018.873304,1700643023.87447,5.00116611,5.0,0.0,67272704.0,1700643023.8773193,5.13150144,1700643025.8557465,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643025.8367896,1,1700643018.7480092,1700643016.735204,True,66240512.0,1700643018.8631203,1700643023.8681915,5.00507116,5.0,0.0,67272704.0,1700643023.8721867,5.12417746,1700643026.017978,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643025.8439434,1,1700643018.7514713,1700643016.735204,True,66244608.0,1700643018.8632538,1700643023.8683224,5.00506854,5.0,0.0,67272704.0,1700643023.8724997,5.12102842,1700643026.0266898,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643025.777343,1,1700643018.7516506,1700643016.735204,True,66244608.0,1700643018.8651392,1700643023.8701966,5.00505733,5.0,0.0,67272704.0,1700643023.8733592,5.12170863,1700643026.0353432,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643025.3393352,1,1700643019.725474,1700643016.735204,True,66260992.0,1700643019.787675,1700643024.789706,5.00203109,5.0,0.0,67190784.0,1700643024.7935607,5.06808662,1700643025.8562374,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643025.8490028,1,1700643019.727822,1700643016.735204,True,66260992.0,1700643019.787863,1700643024.7904704,5.00260735,5.0,0.0,67190784.0,1700643024.793595,5.06577301,1700643026.031351,0
1700643016.6303804,0.042597,10304,752,0.05877,0,0.103529,1700643025.868481,1,1700643019.729353,1700643016.735204,True,66260992.0,1700643019.7939403,1700643024.7990043,5.00506401,5.0,0.0,67256320.0,1700643024.8018856,5.07253265,1700643026.0405514,0
