fn_id,host_submit,init_fn,post_download,pre_shuffle,post_shuffle,pre_upload,end_fn,finished
91,1714039997898,1714040001423,1714040011827,1714040014859,1714040053363,1714040060581,1714040067182,1714040091830
92,1714039997898,1714040001424,1714040010193,1714040028481,1714040055618,1714040064019,1714040068193,1714040091830
93,1714039997898,1714040001425,1714040012531,1714040018945,1714040054205,1714040062908,1714040067303,1714040091830
94,1714039997898,1714040001425,1714040009672,1714040012057,1714040045066,1714040055733,1714040061535,1714040091830
95,1714039997898,1714040001423,1714040012386,1714040018933,1714040046499,1714040054118,1714040060182,1714040091830
96,1714039997898,1714040001547,1714040014746,1714040018088,1714040054129,1714040065293,1714040071283,1714040091830
97,1714039997898,1714040001544,1714040010614,1714040027995,1714040055494,1714040064592,1714040069922,1714040091830
98,1714039997898,1714040001542,1714040009668,1714040027918,1714040057014,1714040070213,1714040074655,1714040091830
99,1714039997898,1714040001538,1714040015095,1714040017825,1714040045118,1714040049759,1714040054656,1714040091830
100,1714039997898,1714040001546,1714040010408,1714040027998,1714040061989,1714040072878,1714040081258,1714040091830
101,1714039997898,1714040001544,1714040011639,1714040024876,1714040047665,1714040054833,1714040059503,1714040091830
102,1714039997898,1714040001546,1714040012067,1714040015586,1714040044018,1714040048435,1714040051687,1714040091830
103,1714039997898,1714040001548,1714040014372,1714040018038,1714040061892,1714040070286,1714040077505,1714040091830
104,1714039997898,1714040001546,1714040012090,1714040015320,1714040048411,1714040057668,1714040065159,1714040091830
105,1714039997898,1714040001547,1714040010784,1714040027485,1714040066579,1714040076589,1714040081291,1714040091830
106,1714039997898,1714040001546,1714040013159,1714040015513,1714040054339,1714040063255,1714040074406,1714040091830
107,1714039997898,1714040001537,1714040009140,1714040012524,1714040052874,1714040062446,1714040070424,1714040091830
108,1714039997898,1714040001545,1714040014054,1714040015824,1714040052363,1714040060895,1714040065331,1714040091830
109,1714039997898,1714040001541,1714040010480,1714040027973,1714040068103,1714040076617,1714040081344,1714040091830
110,1714039997898,1714040001536,1714040012676,1714040015487,1714040058711,1714040070788,1714040076672,1714040091830
111,1714039997898,1714040001537,1714040012504,1714040015514,1714040047328,1714040057190,1714040065489,1714040091830
112,1714039997898,1714040001537,1714040012325,1714040014831,1714040059125,1714040070463,1714040078004,1714040091830
113,1714039997898,1714040001545,1714040010724,1714040027485,1714040052390,1714040062900,1714040071226,1714040091830
114,1714039997898,1714040001536,1714040012754,1714040015559,1714040059224,1714040071255,1714040076379,1714040091830
115,1714039997898,1714040001545,1714040014434,1714040018056,1714040073553,1714040080937,1714040086429,1714040091830
116,1714039997898,1714040001547,1714040011386,1714040026604,1714040048095,1714040058772,1714040066864,1714040091830
117,1714039997898,1714040001539,1714040011680,1714040024025,1714040049522,1714040060599,1714040064991,1714040091830
118,1714039997898,1714040001536,1714040010698,1714040027561,1714040069658,1714040078800,1714040083875,1714040091830
119,1714039997898,1714040001539,1714040010308,1714040028043,1714040067078,1714040076493,1714040083224,1714040091830
120,1714039997898,1714040001538,1714040011491,1714040025757,1714040053324,1714040064451,1714040069798,1714040091830
121,1714039997898,1714040001536,1714040009178,1714040011993,1714040049633,1714040061404,1714040067024,1714040091830
122,1714039997898,1714040001548,1714040011340,1714040027322,1714040053303,1714040065949,1714040072097,1714040091830
123,1714039997898,1714040001545,1714040011318,1714040027330,1714040055642,1714040067634,1714040073221,1714040091830
124,1714039997898,1714040001543,1714040012103,1714040015305,1714040050057,1714040061348,1714040069462,1714040091830
125,1714039997898,1714040001535,1714040008070,1714040009751,1714040044998,1714040050467,1714040053945,1714040091830
126,1714039997898,1714040001544,1714040011253,1714040027583,1714040061871,1714040073428,1714040078743,1714040091830
127,1714039997898,1714040001542,1714040014140,1714040018064,1714040055422,1714040064606,1714040071887,1714040091830
128,1714039997898,1714040001546,1714040010383,1714040028000,1714040068430,1714040076682,1714040081132,1714040091830
