end_fn,init_fn,key,part_number,post_download,post_shuffle,pre_shuffle,pre_upload,fn_id,host_submit
1713779120976,1713779045699,terasort-100g.sorted,85,1713779056825,1713779106098,1713779058430,1713779115643,85,1713779045686
1713779108775,1713779045698,terasort-100g.sorted,86,1713779053689,1713779087381,1713779056754,1713779099747,86,1713779045686
1713779099806,1713779045699,terasort-100g.sorted,87,1713779055080,1713779084978,1713779070187,1713779093183,87,1713779045686
1713779115519,1713779045698,terasort-100g.sorted,88,1713779055371,1713779102042,1713779070093,1713779110860,88,1713779045686
1713779098857,1713779045699,terasort-100g.sorted,89,1713779055152,1713779085614,1713779070230,1713779094141,89,1713779045686
1713779103421,1713779045700,terasort-100g.sorted,90,1713779058094,1713779085460,1713779060584,1713779096952,90,1713779045686
1713779106217,1713779045699,terasort-100g.sorted,91,1713779057785,1713779090315,1713779059920,1713779100878,91,1713779045686
1713779106819,1713779045698,terasort-100g.sorted,92,1713779055301,1713779089913,1713779070111,1713779100040,92,1713779045686
1713779103269,1713779045699,terasort-100g.sorted,93,1713779056548,1713779089566,1713779061542,1713779097990,93,1713779045686
1713779102950,1713779045698,terasort-100g.sorted,94,1713779053887,1713779088748,1713779056846,1713779097570,94,1713779045686
1713779110943,1713779045699,terasort-100g.sorted,95,1713779055892,1713779093259,1713779067976,1713779103996,95,1713779045686
1713779086748,1713779045847,terasort-100g.sorted,96,1713779054616,1713779079591,1713779063795,1713779083453,96,1713779045686
1713779099466,1713779045848,terasort-100g.sorted,97,1713779055870,1713779082953,1713779062184,1713779091825,97,1713779045686
1713779105115,1713779045848,terasort-100g.sorted,98,1713779056338,1713779089726,1713779062366,1713779100468,98,1713779045686
1713779109380,1713779045848,terasort-100g.sorted,99,1713779055407,1713779088157,1713779063285,1713779102114,99,1713779045686
1713779113593,1713779045848,terasort-100g.sorted,100,1713779056688,1713779093755,1713779059955,1713779108109,100,1713779045686
1713779108052,1713779045848,terasort-100g.sorted,101,1713779054110,1713779090625,1713779063746,1713779101694,101,1713779045686
1713779106144,1713779045848,terasort-100g.sorted,102,1713779055369,1713779090315,1713779063463,1713779100392,102,1713779045686
1713779098773,1713779045849,terasort-100g.sorted,103,1713779057245,1713779083395,1713779061975,1713779093156,103,1713779045686
1713779097776,1713779045848,terasort-100g.sorted,104,1713779055074,1713779082358,1713779062613,1713779091052,104,1713779045686
1713779096379,1713779045848,terasort-100g.sorted,105,1713779055598,1713779082403,1713779062177,1713779092044,105,1713779045686
1713779099445,1713779045849,terasort-100g.sorted,106,1713779054324,1713779082282,1713779063436,1713779094223,106,1713779045686
1713779102788,1713779045850,terasort-100g.sorted,107,1713779056282,1713779082616,1713779062191,1713779094505,107,1713779045686
1713779097660,1713779045849,terasort-100g.sorted,108,1713779056514,1713779082171,1713779062126,1713779091264,108,1713779045686
1713779109161,1713779045849,terasort-100g.sorted,109,1713779055322,1713779086881,1713779063569,1713779100983,109,1713779045686
1713779104996,1713779045849,terasort-100g.sorted,110,1713779053728,1713779086241,1713779056354,1713779098998,110,1713779045686
1713779102419,1713779045849,terasort-100g.sorted,111,1713779055615,1713779087129,1713779062053,1713779097404,111,1713779045686
1713779101967,1713779045849,terasort-100g.sorted,112,1713779055459,1713779087565,1713779062419,1713779097240,112,1713779045686
1713779104569,1713779045850,terasort-100g.sorted,113,1713779057545,1713779085953,1713779060995,1713779098503,113,1713779045686
1713779111902,1713779045850,terasort-100g.sorted,114,1713779058282,1713779099886,1713779062344,1713779107972,114,1713779045686
1713779100392,1713779045850,terasort-100g.sorted,115,1713779056203,1713779086984,1713779062723,1713779095692,115,1713779045686
1713779116655,1713779045851,terasort-100g.sorted,116,1713779056061,1713779101359,1713779062154,1713779111954,116,1713779045686
1713779098521,1713779045849,terasort-100g.sorted,117,1713779053984,1713779083653,1713779063805,1713779093024,117,1713779045686
1713779097241,1713779045850,terasort-100g.sorted,118,1713779055583,1713779084268,1713779062120,1713779092148,118,1713779045686
1713779098244,1713779045850,terasort-100g.sorted,119,1713779057226,1713779084035,1713779062158,1713779093230,119,1713779045686
1713779097622,1713779045850,terasort-100g.sorted,120,1713779055539,1713779083550,1713779062176,1713779092654,120,1713779045686
1713779103496,1713779045850,terasort-100g.sorted,121,1713779054579,1713779084128,1713779063835,1713779094714,121,1713779045686
1713779099252,1713779045851,terasort-100g.sorted,122,1713779056480,1713779086509,1713779062284,1713779094871,122,1713779045686
1713779111851,1713779045851,terasort-100g.sorted,123,1713779054049,1713779100305,1713779063852,1713779108006,123,1713779045686
1713779103541,1713779045851,terasort-100g.sorted,124,1713779057666,1713779086055,1713779062066,1713779095355,124,1713779045686
1713779111454,1713779045851,terasort-100g.sorted,125,1713779057216,1713779088245,1713779062418,1713779103143,125,1713779045686
1713779102823,1713779045853,terasort-100g.sorted,126,1713779054096,1713779083260,1713779063775,1713779094389,126,1713779045686
1713779105080,1713779045852,terasort-100g.sorted,127,1713779059127,1713779091555,1713779062213,1713779100534,127,1713779045686
1713779116532,1713779045853,terasort-100g.sorted,128,1713779055162,1713779099745,1713779063422,1713779109353,128,1713779045686
1713779105742,1713779045852,terasort-100g.sorted,129,1713779058404,1713779088402,1713779062256,1713779100869,129,1713779045686
1713779105417,1713779045852,terasort-100g.sorted,130,1713779056617,1713779090208,1713779059408,1713779100989,130,1713779045686
1713779114463,1713779045853,terasort-100g.sorted,131,1713779054406,1713779092442,1713779063795,1713779106043,131,1713779045686
1713779100999,1713779045853,terasort-100g.sorted,132,1713779057763,1713779086584,1713779062180,1713779095792,132,1713779045686
1713779103978,1713779045851,terasort-100g.sorted,133,1713779056388,1713779086877,1713779062408,1713779097403,133,1713779045686
1713779109531,1713779045852,terasort-100g.sorted,134,1713779054013,1713779091168,1713779063820,1713779103240,134,1713779045686
1713779112812,1713779045851,terasort-100g.sorted,135,1713779054555,1713779095027,1713779063813,1713779105324,135,1713779045686
1713779101050,1713779045853,terasort-100g.sorted,136,1713779055808,1713779086439,1713779062260,1713779095807,136,1713779045686
1713779105232,1713779045852,terasort-100g.sorted,137,1713779054999,1713779089531,1713779063555,1713779100169,137,1713779045686
1713779104082,1713779045855,terasort-100g.sorted,138,1713779054677,1713779086353,1713779063550,1713779097668,138,1713779045686
1713779106948,1713779045855,terasort-100g.sorted,139,1713779058827,1713779087548,1713779062275,1713779100408,139,1713779045686
1713779111243,1713779045856,terasort-100g.sorted,140,1713779054139,1713779093882,1713779056325,1713779105744,140,1713779045686
1713779113503,1713779045856,terasort-100g.sorted,141,1713779055474,1713779102700,1713779063301,1713779109124,141,1713779045686
1713779091978,1713779045856,terasort-100g.sorted,142,1713779053417,1713779081577,1713779056020,1713779088011,142,1713779045686
1713779102301,1713779045856,terasort-100g.sorted,143,1713779057111,1713779087263,1713779062015,1713779097100,143,1713779045686
1713779103922,1713779045856,terasort-100g.sorted,144,1713779053498,1713779085668,1713779056073,1713779097103,144,1713779045686
1713779103846,1713779045857,terasort-100g.sorted,145,1713779055504,1713779086594,1713779062261,1713779098130,145,1713779045686
1713779100651,1713779045857,terasort-100g.sorted,146,1713779055831,1713779087445,1713779062059,1713779095830,146,1713779045686
1713779104507,1713779045857,terasort-100g.sorted,147,1713779054652,1713779088709,1713779063777,1713779098794,147,1713779045686
1713779100635,1713779045856,terasort-100g.sorted,148,1713779055029,1713779082511,1713779063463,1713779094561,148,1713779045686
1713779103050,1713779045856,terasort-100g.sorted,149,1713779058462,1713779082735,1713779062490,1713779094406,149,1713779045686
1713779120551,1713779045857,terasort-100g.sorted,150,1713779057079,1713779109067,1713779062327,1713779115976,150,1713779045686
1713779111502,1713779045857,terasort-100g.sorted,151,1713779057000,1713779089997,1713779062172,1713779104574,151,1713779045686
1713779106414,1713779045858,terasort-100g.sorted,152,1713779057370,1713779087117,1713779062572,1713779100536,152,1713779045686
1713779092534,1713779045857,terasort-100g.sorted,153,1713779057235,1713779081021,1713779061814,1713779087518,153,1713779045686
1713779104550,1713779045857,terasort-100g.sorted,154,1713779056812,1713779087860,1713779062201,1713779098108,154,1713779045686
1713779098863,1713779045857,terasort-100g.sorted,155,1713779053320,1713779083052,1713779055953,1713779091853,155,1713779045686
1713779100028,1713779045857,terasort-100g.sorted,156,1713779057904,1713779082219,1713779062355,1713779094153,156,1713779045686
1713779102222,1713779045857,terasort-100g.sorted,157,1713779057619,1713779088706,1713779062341,1713779097122,157,1713779045686
1713779106093,1713779045858,terasort-100g.sorted,158,1713779055637,1713779087790,1713779062303,1713779100838,158,1713779045686
1713779113553,1713779045859,terasort-100g.sorted,159,1713779057798,1713779095206,1713779062173,1713779105069,159,1713779045686
1713779103740,1713779045859,terasort-100g.sorted,160,1713779055424,1713779088712,1713779063372,1713779098996,160,1713779045686
1713779107073,1713779045857,terasort-100g.sorted,161,1713779055444,1713779091470,1713779063223,1713779101709,161,1713779045686
1713779104325,1713779045859,terasort-100g.sorted,162,1713779055260,1713779088271,1713779063481,1713779098872,162,1713779045686
1713779100924,1713779045858,terasort-100g.sorted,163,1713779055947,1713779086251,1713779062355,1713779094666,163,1713779045686
1713779103378,1713779045858,terasort-100g.sorted,164,1713779052786,1713779085136,1713779054692,1713779097278,164,1713779045686
1713779102558,1713779045859,terasort-100g.sorted,165,1713779054235,1713779085832,1713779056358,1713779097241,165,1713779045686
1713779112052,1713779045859,terasort-100g.sorted,166,1713779057686,1713779094992,1713779062186,1713779106816,166,1713779045686
1713779111297,1713779045859,terasort-100g.sorted,167,1713779056241,1713779091449,1713779062328,1713779104821,167,1713779045686
1713779108031,1713779045860,terasort-100g.sorted,168,1713779057845,1713779088660,1713779062333,1713779102269,168,1713779045686
1713779093252,1713779045859,terasort-100g.sorted,169,1713779054601,1713779082281,1713779063821,1713779089505,169,1713779045686
1713779103880,1713779045858,terasort-100g.sorted,170,1713779056557,1713779082661,1713779061993,1713779094971,170,1713779045686
1713779106278,1713779045858,terasort-100g.sorted,171,1713779054491,1713779088222,1713779063283,1713779100514,171,1713779045686
1713779106524,1713779045859,terasort-100g.sorted,172,1713779054722,1713779090580,1713779063484,1713779101418,172,1713779045686
1713779112904,1713779045859,terasort-100g.sorted,173,1713779053445,1713779095043,1713779056131,1713779107668,173,1713779045686
1713779103015,1713779045860,terasort-100g.sorted,174,1713779054843,1713779089802,1713779063448,1713779098314,174,1713779045686
1713779105310,1713779045860,terasort-100g.sorted,175,1713779056645,1713779087064,1713779061873,1713779097118,175,1713779045686
1713779114789,1713779045859,terasort-100g.sorted,176,1713779053960,1713779099745,1713779074493,1713779109786,176,1713779045686
1713779105761,1713779045859,terasort-100g.sorted,177,1713779056459,1713779089786,1713779062345,1713779098578,177,1713779045686
1713779105627,1713779045860,terasort-100g.sorted,178,1713779056657,1713779089450,1713779059545,1713779100452,178,1713779045686
1713779113814,1713779045861,terasort-100g.sorted,179,1713779055489,1713779102402,1713779062481,1713779110004,179,1713779045686
1713779104057,1713779045860,terasort-100g.sorted,180,1713779057510,1713779088125,1713779062176,1713779097227,180,1713779045686
1713779108400,1713779045860,terasort-100g.sorted,181,1713779051920,1713779088528,1713779053227,1713779102383,181,1713779045686
1713779115111,1713779045860,terasort-100g.sorted,182,1713779056431,1713779102499,1713779062371,1713779109018,182,1713779045686
1713779102396,1713779045859,terasort-100g.sorted,183,1713779054693,1713779087235,1713779063791,1713779097768,183,1713779045686
1713779118177,1713779045860,terasort-100g.sorted,184,1713779052636,1713779104112,1713779054751,1713779113116,184,1713779045686
1713779106359,1713779045860,terasort-100g.sorted,185,1713779053283,1713779085258,1713779056127,1713779097767,185,1713779045686
1713779102196,1713779045860,terasort-100g.sorted,186,1713779058022,1713779085081,1713779062096,1713779096541,186,1713779045686
1713779105652,1713779045859,terasort-100g.sorted,187,1713779055218,1713779089436,1713779063553,1713779100474,187,1713779045686
1713779099831,1713779045860,terasort-100g.sorted,188,1713779059633,1713779085499,1713779063273,1713779094629,188,1713779045686
1713779097447,1713779045860,terasort-100g.sorted,189,1713779052139,1713779084758,1713779053644,1713779092996,189,1713779045686
1713779107146,1713779045860,terasort-100g.sorted,190,1713779056703,1713779088098,1713779059574,1713779100804,190,1713779045686
1713779112860,1713779045860,terasort-100g.sorted,191,1713779056669,1713779100950,1713779059992,1713779109164,191,1713779045686
